Reason(s),P/F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
"Flame Failure . Further, the unit outage is converted into Overhauling . ",P
Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
 Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
 Fuel shortage,F
 Fuel shortage,F
 Fuel shortage,F
 Fuel shortage,F
Fuel Shortage ,F
 Fuel shortage ,F
 Fuel shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
 Fuel shortage ,F
Reserve Shutdown (Non availability of domestic gas & NIL requisition by Beneficiaries in RLNG/Liquid and Spot Gas).,P
 Fuel Shortage,F
 Fuel Shortage,F
Fuel Shortage ,F
Fuel Shortage ,F
Fuel Shortage ,F
 Fuel Shortage,F
 Fuel Shortage,F
Over hauling ,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
